Participant,Commission_Error_FP,Omission_Error_FN,Hit_TP,Correct_Omission_TN,ACC,Hit_mean_RT,Hit_SD_RT,Hit_median_RT,Hit_MAD_RT,mean_all,std_all,Coeff_Var
28,4.910714285714286,1.0416666666666665,98.95833333333334,95.08928571428571,96.25,395.0736842105263,67.48746804159401,389.0,46.8401108033241,424.8301886792453,195.29442835531873,0.4596999779193415
29,1.3392857142857142,0.0,100.0,98.66071428571429,99.0625,488.21875,85.84517313163275,480.5,60.524088541666664,503.7979797979798,123.95226037882486,0.24603564394706193
30,0.0,0.0,100.0,100.0,100.0,449.2083333333333,60.96554966219885,443.5,44.54687500000003,449.2083333333333,60.96554966219885,0.13571776197873783
31,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,376.4375,48.6218085138541,371.0,36.772135416666664,376.5204081632653,48.12574371455581,0.12781709217123688
33,0.4464285714285714,1.0416666666666665,98.95833333333334,99.55357142857143,99.375,358.6421052631579,35.15010843767472,353.0,28.331523545706343,358.84375,35.0203934947384,0.097592318369035
34,1.3392857142857142,0.0,100.0,98.66071428571429,99.0625,395.4583333333333,58.01667939238936,388.0,45.131076388888886,392.06060606060606,60.39137966965527,0.15403582695150905
35,1.7857142857142856,0.0,100.0,98.21428571428571,98.75,429.1354166666667,55.1666603726079,421.5,43.628689236111136,428.35,55.229617109487606,0.128935723379217
36,0.0,0.0,100.0,100.0,100.0,483.625,83.36934309697452,478.5,54.9765625,483.625,83.36934309697452,0.17238427107154203
37,0.4464285714285714,2.083333333333333,97.91666666666666,99.55357142857143,99.0625,481.48936170212767,92.58193054859206,462.0,68.85966500679042,481.93684210526317,92.19138402146889,0.19129349733617737
38,0.0,0.0,100.0,100.0,100.0,492.8958333333333,53.423133007629545,485.5,44.22482638888889,492.8958333333333,53.423133007629545,0.1083862540414311
39,2.6785714285714284,0.0,100.0,97.32142857142857,98.125,342.5625,56.1752544322348,332.5,42.921875,343.6372549019608,57.29233515608655,0.1667232942261513
41,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,406.7395833333333,48.21732486012332,404.0,37.05121527777776,406.0927835051546,48.38669808476698,0.11915182945907433
42,1.3392857142857142,2.083333333333333,97.91666666666666,98.66071428571429,98.4375,405.09574468085106,76.40203076017154,400.0,52.954956994114966,404.17525773195877,75.70130589875338,0.18729821890521814
43,0.0,0.0,100.0,100.0,100.0,406.7395833333333,53.08052369385626,403.5,42.504123263888914,406.7395833333333,53.08052369385626,0.1305024784134556
44,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,421.7708333333333,60.18908436911948,423.5,51.400607638888914,420.82474226804123,60.59548427710297,0.1439922090857175
45,1.7857142857142856,0.0,100.0,98.21428571428571,98.75,421.1145833333333,55.400906280192444,413.5,44.80924479166666,422.53,58.006000212099266,0.13728256032021222
46,0.8928571428571428,1.0416666666666665,98.95833333333334,99.10714285714286,99.0625,446.94736842105266,94.82361771754796,427.0,64.46204986149581,457.3298969072165,131.28838499411995,0.2870758852241752
47,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,482.53125,93.60420066203731,484.5,73.37434895833333,482.1224489795918,92.68128129897117,0.19223597966684675
48,0.0,0.0,100.0,100.0,100.0,453.7395833333333,79.47343081898728,440.0,55.37825520833332,453.7395833333333,79.47343081898728,0.17515207783977546
49,0.0,1.0416666666666665,98.95833333333334,100.0,99.6875,369.2842105263158,37.426712260008955,366.0,28.747257617728533,369.2842105263158,37.426712260008955,0.10134934338694632
50,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,391.5729166666667,41.693554920752746,391.0,34.346788194444464,391.5257731958763,41.47843133874547,0.10594048764701434
51,1.3392857142857142,0.0,100.0,98.66071428571429,99.0625,422.8125,69.0934245481397,421.5,50.325520833333336,417.7878787878788,80.65272908414106,0.19304707766567453
52,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,460.5625,62.61995856375438,463.0,48.423177083333336,467.9183673469388,93.84047370150823,0.20054881417366988
53,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,456.25,50.92553903804838,456.5,39.8125,455.8556701030928,50.80825672949264,0.11145689318288449
54,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,433.5625,78.02129432674808,427.5,60.130208333333336,431.9591836734694,78.10512587523648,0.180815986387914
